name,url,price,sku,description,attributes_json,image_paths,category
DZIK® Energy Sour Apple Kwaśne Jabłko 500 ml,https://wkdzik.pl/dzik-energy-apple-sour,8.50,,,{},results\images\dzik-energy-sour-apple-kwaśne-jabłko-500-ml\1_d1aa02ff.webp;results\images\dzik-energy-sour-apple-kwaśne-jabłko-500-ml\24_2b1d8056.png,NAPOJE
DZIK® Energy Peach Brzoskwiniowy 500 ml,https://wkdzik.pl/dzik-energy-peach-500ml,8.50,,,{},results\images\dzik-energy-peach-brzoskwiniowy-500-ml\1_d1aa02ff.webp;results\images\dzik-energy-peach-brzoskwiniowy-500-ml\20_5ed6484d.jpg,NAPOJE
Czas i koszty dostawy,https://wkdzik.pl/czas-i-koszty-dostawy,8.50,,,{},results\images\czas-i-koszty-dostawy\1_8b760369.webp;results\images\czas-i-koszty-dostawy\2_aaa06a65.webp,NAPOJE
Formy płatności,https://wkdzik.pl/formy-platnosci,8.50,,,{},results\images\formy-płatności\1_8b760369.webp;results\images\formy-płatności\2_aaa06a65.webp,NAPOJE
Regulamin sklepu internetowego,https://wkdzik.pl/regulamin,8.50,,,{},results\images\regulamin-sklepu-internetowego\1_8b760369.webp;results\images\regulamin-sklepu-internetowego\2_aaa06a65.webp,NAPOJE
Zwroty i reklamacje,https://wkdzik.pl/zwroty-i-reklamacje,8.50,,,{},results\images\zwroty-i-reklamacje\1_8b760369.webp;results\images\zwroty-i-reklamacje\2_aaa06a65.webp,NAPOJE
Polityka prywatności,https://wkdzik.pl/polityka-prywatnosci,8.50,,,{},results\images\polityka-prywatności\1_8b760369.webp;results\images\polityka-prywatności\2_aaa06a65.webp,NAPOJE
Black Friday 2025,https://wkdzik.pl/pl/i/Black-Friday-2025/104,8.50,,,{},results\images\black-friday-2025\1_8b760369.webp;results\images\black-friday-2025\2_aaa06a65.webp,NAPOJE
Lookbook,https://wkdzik.pl/lookbook,8.50,,,{},results\images\lookbook\1_8b760369.webp;results\images\lookbook\2_aaa06a65.webp,NAPOJE
Kariera,https://wkdzik.pl/kariera,8.50,,,{},results\images\kariera\1_8b760369.webp;results\images\kariera\2_aaa06a65.webp,NAPOJE
Napoje WK DZIK,https://wkdzik.pl/produkty-dzik/2,8.50,,,{},results\images\napoje-wk-dzik\1_d1aa02ff.webp;results\images\napoje-wk-dzik\2_8b760369.webp,NAPOJE
Napoje WK DZIK,https://wkdzik.pl/produkty-dzik/2/default/2,8.50,,,{},results\images\napoje-wk-dzik\1_d1aa02ff.webp;results\images\napoje-wk-dzik\2_8b760369.webp,NAPOJE
Napoje WK DZIK,https://wkdzik.pl/produkty-dzik/2/default/3,8.50,,,{},results\images\napoje-wk-dzik\1_d1aa02ff.webp;results\images\napoje-wk-dzik\2_8b760369.webp,NAPOJE
Napoje WK DZIK,https://wkdzik.pl/produkty-dzik/2/default/4,8.50,,,{},results\images\napoje-wk-dzik\1_d1aa02ff.webp;results\images\napoje-wk-dzik\2_8b760369.webp,NAPOJE
DZIK® ZERO ORANGE ‑ 500 ML x 24 SZT.,https://wkdzik.pl/dzik-zero-kofeiny-zero-kalorii-orange-500ml-24szt,8.50,,,{},results\images\dzik-zero-orange-500-ml-x-24-szt\19_0ae77061.jpg;results\images\dzik-zero-orange-500-ml-x-24-szt\1_8b760369.webp,NAPOJE
DZIK® Bezkofeinowy Zero Kalorii Orange Pomarańczowy 500 ml,https://wkdzik.pl/dzik-zero-kofeiny-orange-24,8.50,,,{},results\images\dzik-bezkofeinowy-zero-kalorii-orange-pomarańczowy-500-ml\19_62a3234a.jpg;results\images\dzik-bezkofeinowy-zero-kalorii-orange-pomarańczowy-500-ml\1_8b760369.webp,NAPOJE
DZIK® Energy Ananas 500 ml,https://wkdzik.pl/dzik-energy-ananas,8.50,,,{},results\images\dzik-energy-ananas-500-ml\1_d1aa02ff.webp;results\images\dzik-energy-ananas-500-ml\20_50139a11.jpg,NAPOJE
DZIK® Energy Sour Apple Kwaśne Jabłko 500 ml ‑ 24 Sztuki,https://wkdzik.pl/dzik-energy-sour-apple-24szt,8.50,,,{},results\images\dzik-energy-sour-apple-kwaśne-jabłko-500-ml-24-sztuki\1_d1aa02ff.webp;results\images\dzik-energy-sour-apple-kwaśne-jabłko-500-ml-24-sztuki\20_d54dcded.jpg,NAPOJE
DZIK® Energy Lemon Cytrynowy 500 ml,https://wkdzik.pl/dzik-energy-lemon-1,8.50,,,{},results\images\dzik-energy-lemon-cytrynowy-500-ml\1_d1aa02ff.webp;results\images\dzik-energy-lemon-cytrynowy-500-ml\24_e0bf0fd3.png,NAPOJE
DZIK® Energy Lemon Cytrynowy 500 ml ‑ 24 Sztuki,https://wkdzik.pl/dzik-energy-lemon-24,8.50,,,{},results\images\dzik-energy-lemon-cytrynowy-500-ml-24-sztuki\1_d1aa02ff.webp;results\images\dzik-energy-lemon-cytrynowy-500-ml-24-sztuki\20_e5a600b6.jpg,NAPOJE
